CLASS_2021;CLASS_2020;CNPJ;Razão Social;Sede;Faturamento Bruto em 2020 (R$);Nº de lojas;Nº de check-outs;Área de venda;Nº de funcionários;Fat._CKT_ 2020;Fat._M2_2020;Fat._Func._2020;Func._CKT_2020;Func._M2_2020;CKT_Loja_2020;M2_CKT_2020;M2_Loja_2020;Fat._Loja_ 2020;
824;874;05.160.011/0001-52;COSTA E BERTANHA RIBEIRÃO CORRENTE LTDA. - ME;SP;2.434.021;1;2;120;6;1.217.011;20.284;405.670;3;5;2;60;120;2.434.021;
825;novo;32.212.047/0001-05;LA HORTIFRUTI EIRELI;RJ;2.400.000;1;5;140;28;480.000;17.143;85.714;6;20;5;28;140;2.400.000;
826;806;93.497.410/0001-70;MINI MERCADO PONTO VERDE;RS;2.400.000;1;2;182;8;1.200.000;13.187;300.000;4;4;2;91;182;2.400.000;
827;807;27.254.853/0001-06;ONÍZIO PASTORE E CIA. LTDA.;ES;2.400.000;1;3;220;9;800.000;10.909;266.667;3;4;3;73;220;2.400.000;
828;847;13.556.473/0001-11;MERCADO DO PARQUE LTDA. -  ME;RS;2.400.000;1;3;240;12;800.000;10.000;200.000;4;5;3;80;240;2.400.000;
829;novo;10.771.333/0001-78;CARLA DE L LIMBERGER & CIA. LTDA.;RS;2.400.000;1;2;250;7;1.200.000;9.600;342.857;4;3;2;125;250;2.400.000;
830;862;83.487.371/0001-77;JAIME HOSTINS - EPP;SC;2.353.449;1;3;480;5;784.483;4.903;470.690;2;1;3;160;480;2.353.449;
831;851;89.988.422/0001-20;S. SILVA & FILHOS LTDA.;RS;2.350.000;1;2;300;12;1.175.000;7.833;195.833;6;4;2;150;300;2.350.000;
832;868;00.888.865/0001-36;ARNALDO RANIELLE SILVEIRA AREND - ME;RS;2.328.000;1;2;200;2;1.164.000;11.640;1.164.000;1;1;2;100;200;2.328.000;
833;861;00.353.543/0001-92;COMERCIAL TEIXEIRENSE LTDA. - EPP;MG;2.300.000;1;2;400;7;1.150.000;5.750;328.571;4;2;2;200;400;2.300.000;
834;837;04.271.396/0001-62;SILVIO ANDRÉ ZERBIELLI - ME;RS;2.280.000;1;2;143;7;1.140.000;15.944;325.714;4;5;2;72;143;2.280.000;
835;859;30.622.725/0001-82;SUPERMERCADO MIZDAL LTDA.;RS;2.063.233;1;3;200;8;687.744;10.316;257.904;3;4;3;67;200;2.063.233;
836;novo;96.415.526/0001-01;MERCADO BOGORNI LTDA.;RS;2.044.142;1;2;400;10;1.022.071;5.110;204.414;5;3;2;200;400;2.044.142;
837;872;74.437.849/0001-63;VILLALVA SUPERMERCADO LTDA.;SP;2.000.000;1;2;160;6;1.000.000;12.500;333.333;3;4;2;80;160;2.000.000;
838;867;80.770.696/0001-74;CÂNDIDO & DANTE LTDA.;PR;2.000.000;1;2;350;7;1.000.000;5.714;285.714;4;2;2;175;350;2.000.000;
839;891;64.428.410/0001-10;ALAOR MESSIAS MARQUES E CIA. LTDA.;MG;1.984.000;1;2;300;6;992.000;6.613;330.667;3;2;2;150;300;1.984.000;
840;novo;08.925.856/0001-80;A ROGERIO PIRES LOPES & CIA. LTDA. - ME;SP;1.891.983;1;2;240;8;945.992;7.883;236.498;4;3;2;120;240;1.891.983;
841;novo;05.754.991/0001-11;A G PINTO COSTA - ME;RN;1.500.000;1;2;100;5;750.000;15.000;300.000;3;5;2;50;100;1.500.000;
842;907;11.508.614/0001-03;MERCADO NOVO HORIZONTE LTDA. - ME;MG;1.500.000;2;3;350;9;500.000;4.286;166.667;3;3;2;117;175;750.000;
843;881;97.248.132/0001-79;H. K. MINIMERCADO LTDA. - ME;RS;1.430.000;1;2;320;6;715.000;4.469;238.333;3;2;2;160;320;1.430.000;
844;novo;26.429.480/0001-02;A S OLIVEIRA MERCADINHO;DF;1.400.000;1;2;400;3;700.000;3.500;466.667;2;1;2;200;400;1.400.000;
845;876;13.818.615/0001-71;FLORENZA COMÉRCIO DE GÊNEROS ALIMENTÍCIOS LTDA. - ME;RS;1.383.423;1;2;250;7;691.712;5.534;197.632;4;3;2;125;250;1.383.423;
846;883;00.260.864/0001-42;COMERCIAL DE ALIMENTOS RUPRECHT LTDA.;SC;1.320.000;1;2;220;2;660.000;6.000;660.000;1;1;2;110;220;1.320.000;
847;897;10.906.218/0001-63;SUPERMERCADO SAN MARTINS LTDA. ;MG;1.300.000;1;7;500;40;185.714;2.600;32.500;6;8;7;71;500;1.300.000;
