CLASS_2021;CLASS_2020;CNPJ;Razão Social;Sede;Faturamento Bruto em 2020 (R$);Nº de lojas;Nº de check-outs;Área de venda;Nº de funcionários;Fat._CKT_ 2020;Fat._M2_2020;Fat._Func._2020;Func._CKT_2020;Func._M2_2020;CKT_Loja_2020;M2_CKT_2020;M2_Loja_2020;Fat._Loja_ 2020;
28;28;53.045.266/0001-17;JAD ZOGHEIB & CIA. LTDA.;SP;1.763.284.649;14;297;31.513;4.385;5.936.985;55.954;402.117;15;14;21;106;2.251;125.948.904;
29;23;40.299.810/0001-05;AM/PM COMESTÍVEIS LTDA.;SP;1.738.615.277;1.804;2.614;107.447;9.613;665.117;16.181;180.861;4;9;1;41;60;963.756;
30;34;92.016.757/0001-91;COMERCIAL ZAFFARI LTDA.;RS;1.669.136.998;24;617;73.624;3.000;2.705.246;22.671;556.379;5;4;26;119;3.068;69.547.375;
31;27;08.030.363/0001-81;SUPERMERCADO NORDESTÃO LTDA.;RN;1.613.794.726;11;248;34.254;4.042;6.507.237;47.113;399.256;16;12;23;138;3.114;146.708.611;
32;33;82.956.160/0001-73;MUNDIALMIX COMÉRCIO DE ALIMENTOS LTDA.;SC;1.587.030.258;27;470;41.500;3.520;3.376.660;38.242;450.861;7;8;17;88;1.537;58.778.898;
33;30;60.437.647/0001-07;SILVA E BARBOSA COMÉRCIO DE ALIMENTOS LTDA.;SP;1.446.236.542;31;505;37.344;3.962;2.863.835;38.727;365.027;8;11;16;74;1.205;46.652.792;
34;31;08.492.764/0001-53;SÃO CRISTOVÃO INVESTIMENTOS E PARTICIPAÇÕES S.A.;DF;1.441.338.305;30;397;39.272;3.859;3.630.575;36.701;373.500;10;10;13;99;1.309;48.044.610;
35;29;45.827.425/0001-07;SUPERMERCADOS IRMÃOS LOPES S.A.;SP;1.410.120.460;30;402;44.359;3.735;3.507.762;31.789;377.542;9;8;13;110;1.479;47.004.015;
36;32;43.259.548/0004-06;SUPERMERCADOS CAVICCHIOLLI LTDA.;SP;1.343.239.070;21;358;48.433;3.067;3.752.064;27.734;437.965;9;6;17;135;2.306;63.963.765;
37;36;78.116.670/0001-65;CIA. BEAL DE ALIMENTOS;PR;1.310.473.247;20;321;27.856;4.158;4.082.471;47.045;315.169;13;15;16;87;1.393;65.523.662;
38;42;03.845.717/0001-22;REALMAR DISTRIBUIDORA LTDA.;ES;1.277.004.610;36;464;51.975;4.496;2.752.165;24.570;284.031;10;9;13;112;1.444;35.472.350;
39;35;07.760.885/0001-76;TORRE E CIA. SUPERMERCADOS S.A.;RJ;1.255.827.159;18;297;21.715;4.138;4.228.374;57.832;303.487;14;19;17;73;1.206;69.768.176;
40;41;03.640.467/0001-94;SUPERMERCADOS JAÚ SERVE LTDA.;SP;1.247.890.069;36;325;44.628;3.647;3.839.662;27.962;342.169;11;8;9;137;1.240;34.663.613;
41;38;61.233.151/0001-84;COVABRA SUPERMERCADO LTDA.;SP;1.238.262.308;16;272;31.346;2.724;4.552.435;39.503;454.575;10;9;17;115;1.959;77.391.394;
42;37;77.883.320/0001-61;SUPERMERCADO SUPERPÃO LTDA.;PR;1.200.013.665;28;496;61.080;3.591;2.419.382;19.647;334.173;7;6;18;123;2.181;42.857.631;
43;39;63.864.771/0001-47;FORMOSA SUPERMERCADOS & MAGAZINE LTDA.;PA;1.178.869.651;4;265;37.228;3.527;4.448.565;31.666;334.241;13;9;66;140;9.307;294.717.413;
44;40;52.130.481/0002-34;D'AVÓ SUPERMERCADOS LTDA.;SP;1.129.667.277;12;364;49.027;2.600;3.103.482;23.042;434.487;7;5;30;135;4.086;94.138.940;
45;43;24.896.425/0001-99;LUIZ TONIN ATACADISTA E SUPERMERCADOS S.A.;MG;1.102.880.000;18;290;47.000;1.967;3.803.034;23.466;560.691;7;4;16;162;2.611;61.271.111;
46;45;65.124.307/0001-40;ORGANIZAÇÃO VERDEMAR LTDA.;MG;1.098.611.047;16;222;23.757;5.000;4.948.698;46.244;219.722;23;21;14;107;1.485;68.663.190;
47;novo;06.887.668/0001-89;SUPERMERCADO COMETA LTDA.;CE;987.842.086;28;440;42.189;2.460;2.245.096;23.415;401.562;6;6;16;96;1.507;35.280.075;
48;50;04.327.442/0002-89;SUPERMERCADO QUEIRÓZ LTDA.;RN;963.028.781;25;374;34.961;2.262;2.574.943;27.546;425.742;6;6;15;93;1.398;38.521.151;
49;49;32.267.292/0001-10;R.M.C. COMÉRCIO DE ALIMENTOS LTDA.;PI;954.046.697;27;320;39.579;2.781;2.981.396;24.105;343.059;9;7;12;124;1.466;35.335.063;
50;47;50.948.371/0001-78;IRMÃOS BOA LTDA.;SP;948.708.000;14;227;23.787;1.840;4.179.330;39.883;515.602;8;8;16;105;1.699;67.764.857;
Total  50 Maiores;;;;;288.247.730.719;5.625;35.595;8.835.702;539.336;8.097.984;32.623;534.449;15;6;6;248;1.571;51.244.041;
51;48;53.963.443/0001-44;LOPES SUPERMERCADOS LTDA;SP;921.732.208;18;262;24.431;2.588;3.518.062;37.728;356.156;10;11;15;93;1.357;51.207.345;
52;46;17.833.301/0008-75;SUPERMERCADOS ALVORADA;RJ;912.308.210;23;323;30.000;3.313;2.824.484;30.410;275.372;10;11;14;93;1.304;39.665.574;
53;52;84.308.980/0001-84;A.C.D.A IMPORTAÇÃO E EXPORTAÇÃO LTDA.;AC;898.345.742;12;213;21.475;2.456;4.217.586;41.832;365.776;12;11;18;101;1.790;74.862.145;
54;56;91.156.471/0014-63;IMPORTADORA E EXPORTADORA DE CEREAIS S.A.;RS;889.084.204;23;221;29.296;2.419;4.023.005;30.348;367.542;11;8;10;133;1.274;38.655.835;
55;54;92.091.891/0001-57;ASUN COMÉRCIO DE GÊNEROS ALIMENTÍCIOS LTDA.;RS;888.275.546;30;272;31.462;2.758;3.265.719;28.233;322.072;10;9;9;116;1.049;29.609.185;
56;68;03.879.760/0009-66;ÂNCORA DISTRIBUIDORA LTDA.;CE;887.627.750;15;295;30.302;2.120;3.008.908;29.293;418.692;7;7;20;103;2.020;59.175.183;
57;51;08.712.199/0001-92;IWABRAS ATACADISTA PRODUTOS ALIMENTÍCIOS LTDA.;SP;886.285.346;15;212;17.690;2.212;4.180.591;50.101;400.671;10;13;14;83;1.179;59.085.690;
58;55;03.720.882/0001-58;DISTRIBUIDORA DE ALIMENTOS FARTURA S.A.;CE;844.838.677;22;242;25.470;1.954;3.491.069;33.170;432.364;8;8;11;105;1.158;38.401.758;
59;63;00.877.761/0001-26;DEL MORO & DEL MORO LTDA.;MT;817.065.192;13;240;23.600;2.530;3.404.438;34.621;322.951;11;11;18;98;1.815;62.851.169;
60;61;06.337.087/0001-73;RMIX COMÉRCIO DE GÊNEROS ALIMENTÍCIOS LTDA.;BA;788.970.952;15;177;15.800;2.042;4.457.463;49.935;386.372;12;13;12;89;1.053;52.598.063;
61;60;44.358.067/0001-78;CASA AVENIDA COMÉRCIO E IMPORTAÇÃO LTDA.;SP;753.817.420;19;224;28.846;2.153;3.365.256;26.132;350.124;10;7;12;129;1.518;39.674.601;
62;102;31.838.128/0001-52;DISTRIBUIÇÃO DE ALIMENTOS VANGUARDA S.A.;PI;753.286.646;24;292;37.906;2.467;2.579.749;19.872;305.345;8;7;12;130;1.579;31.386.944;
63;62;45.495.694/0008-90;SUPERMERCADO SÃO ROQUE LTDA.;SP;745.718.183;19;185;17.000;2.300;4.030.909;43.866;324.225;12;14;10;92;895;39.248.325;
64;70;05.677.591/0001-50;SUPERMERCADO DA FAMÍLIA LTDA.;PE;738.263.431;19;212;14.717;1.900;3.482.375;50.164;388.560;9;13;11;69;775;38.855.970;
65;64;27.881.408/0001-76;SUPERMERCADO VIANENSE LTDA.;RJ;735.094.991;18;261;19.433;2.200;2.816.456;37.827;334.134;8;11;15;74;1.080;40.838.611;
66;57;28.598.795/0001-09;BARCELOS & CIA LTDA.;RJ;733.735.270;15;253;25.399;2.100;2.900.139;28.888;349.398;8;8;17;100;1.693;48.915.685;
67;82;04.757.459/0006-08;A.B.V. COM. DE ALIM. LTDA.;MS;717.137.026;23;261;31.600;1.411;2.747.651;22.694;508.247;5;4;11;121;1.374;31.179.871;
68;77;17.493.338/0001-25;COSTAZUL ALIMENTOS - EIRELI.;RJ;707.867.289;7;140;24.500;1.400;5.056.195;28.893;505.619;10;6;20;175;3.500;101.123.898;
69;66;02.212.937/0001-56;HIPERIDEAL EMPREENDIMENTOS LTDA.;BA;688.366.550;18;194;18.674;2.061;3.548.281;36.862;333.996;11;11;11;96;1.037;38.242.586;
70;73;01.874.166/0001-08;MASTER ATS SUPERMERCADO LTDA.;RS;658.065.303;14;229;30.522;1.875;2.873.648;21.560;350.968;8;6;16;133;2.180;47.004.665;
71;69;46.029.724/0001-69;HIGA PRODUTOS ALIMENTÍCIOS LTDA.;SP;654.763.639;2;50;5.800;700;13.095.273;112.890;935.377;14;12;25;116;2.900;327.381.820;
72;65;64.308.299/0001-29;INTERCONTINENTAL COMÉRCIO DE ALIMENTOS LTDA.;RJ;648.549.681;22;283;34.229;2.528;2.291.695;18.947;256.547;9;7;13;121;1.556;29.479.531;
73;75;72.954.308/0001-87;SUPERMERCADO PORECATU LTDA.;SP;639.931.016;9;130;16.420;1.560;4.922.546;38.973;410.212;12;10;14;126;1.824;71.103.446;
74;87;03.107.202/0001-25;PASSARELA CENTER LTDA.;SC;631.996.352;9;151;20.336;1.048;4.185.406;31.078;603.050;7;5;17;135;2.260;70.221.817;
75;80;91.292.987/0001-10;LIBRAGA BRANDÃO & CIA. LTDA.;RS;630.679.144;29;245;35.730;1.647;2.574.201;17.651;382.926;7;5;8;146;1.232;21.747.557;
76;72;59.276.790/0001-85;COMERCIAL OSWALDO CRUZ LTDA.;SP;622.073.904;24;245;37.150;2.188;2.539.077;16.745;284.312;9;6;10;152;1.548;25.919.746;
77;78;44.480.747/0001-60;ANDORINHA SUPERMERCADO LTDA.;SP;612.014.027;1;95;6.200;1.272;6.442.253;98.712;481.143;13;21;95;65;6.200;612.014.027;
78;76;94.846.755/0001-55;SUPERMERCADO GUANABARA S.A.;RS;609.456.457;10;237;18.004;2.371;2.571.546;33.851;257.046;10;13;24;76;1.800;60.945.646;
79;74;05.789.313/0001-94;ENXUTO SUPERMERCADO LTDA.;SP;606.932.570;14;154;14.702;1.409;3.941.121;41.282;430.754;9;10;11;95;1.050;43.352.326;
80;86;04.172.287/0001-98;GOMES PAIXÃO & CIA LTDA.;PB;560.922.781;10;155;11.400;1.286;3.618.857;49.204;436.176;8;11;16;74;1.140;56.092.278;
81;79;41.185.455/0001-06;UNICOMPRA SUPERMERCADOS LTDA.;AL;557.017.204;20;259;18.434;2.424;2.150.646;30.217;229.793;9;13;13;71;922;27.850.860;
82;92;01.915.625/0001-46;SUPERMERCADO IQUEGAMI LTDA.;SP;543.250.666;15;241;23.951;1.705;2.254.152;22.682;318.622;7;7;16;99;1.597;36.216.711;
83;85;79.257.291/0001-58;SUPERMERCADO ARCHER S.A.;SC;518.013.575;10;121;13.502;1.015;4.281.104;38.366;510.358;8;8;12;112;1.350;51.801.358;
84;90;27.326.415/0001-06;NOVO MIX ATACADO DE ALIMENTOS LTDA.;BA;516.437.998;17;174;13.896;1.306;2.968.034;37.165;395.435;8;9;10;80;817;30.378.706;
85;84;00.610.350/0001-70;SUPERMERCADO BAKLIZI LTDA.;RS;503.776.950;13;168;21.677;1.693;2.998.672;23.240;297.565;10;8;13;129;1.667;38.752.073;
86;88;04.601.165/0001-70;M.W.N. COMERCIAL DE ALIMENTOS LTDA.;CE;493.264.434;16;250;22.750;1.771;1.973.058;21.682;278.523;7;8;16;91;1.422;30.829.027;
87;novo;11.497.712/0001-84;CENTERBOX SUPERMERCADOS LTDA.;CE;487.614.187;14;198;27.893;1.504;2.462.698;17.482;324.212;8;5;14;141;1.992;34.829.585;
88;89;07.947.496/0001-54;TRIMAIS SUPERMERCADOS LTDA.;SP;484.278.431;2;170;11.800;1.798;2.848.697;41.041;269.343;11;15;85;69;5.900;242.139.216;
89;93;12.075.667/0001-32;S PIRES COMÉRCIO DE ALIMENTOS LTDA.;MS;467.420.171;24;171;15.600;1.511;2.733.451;29.963;309.345;9;10;7;91;650;19.475.840;
90;97;03.644.587/0001-60;SANCHES & VECCHIATE LTDA.;PR;454.984.657;16;191;25.100;1.700;2.382.119;18.127;267.638;9;7;12;131;1.569;28.436.541;
91;100;04.163.766/0001-48;BOM VIZINHO DISTRIBUIDORA DE ALIMENTOS LTDA.;CE;442.806.127;15;182;21.765;1.820;2.433.001;20.345;243.300;10;8;12;120;1.451;29.520.408;
92;95;09.442.132/0001-48;M.N. SUPERMERCADOS LTDA.;MG;442.305.755;24;168;17.209;1.508;2.632.772;25.702;293.306;9;9;7;102;717;18.429.406;
93;96;21.414.958/0001-07;MAGLIONI RIBEIRO E CIA. LTDA.;MG;435.970.258;14;131;15.556;1.348;3.328.017;28.026;323.420;10;9;9;119;1.111;31.140.733;
94;98;03.213.457/0002-53;AVO COMÉRCIO DE ALIMENTOS LTDA.;SP;435.889.295;11;140;14.100;1.440;3.113.495;30.914;302.701;10;10;13;101;1.282;39.626.300;
95;94;18.468.199/0001-42;SUPERMERCADO BERNARDÃO LTDA.;MG;414.042.185;8;102;13.800;1.000;4.059.237;30.003;414.042;10;7;13;135;1.725;51.755.273;
96;108;76.260.017/0001-40;PARANÁ SUPERMERCADOS - TONELLO & MACHADO DA LUZ LTDA.;PR;386.593.303;9;174;20.000;1.265;2.221.801;19.330;305.607;7;6;19;115;2.222;42.954.811;
97;99;03.206.948/0001-96;COMERCIAL ALIMENTOS ITA LTDA.;DF;385.467.298;10;103;9.042;952;3.742.401;42.631;404.903;9;11;10;88;904;38.546.730;
98;101;50.052.000/0001-03;COFESA COMERCIAL FERREIRA SANTOS LTDA.;SP;379.860.587;8;93;13.320;974;4.084.522;28.518;390.001;10;7;12;143;1.665;47.482.573;
99;112;00.286.528/0001-79;SUPERMERCADO DELTA MAX LTDA.;SP;373.360.701;8;115;14.400;1.134;3.246.615;25.928;329.242;10;8;14;125;1.800;46.670.088;
100;103;89.897.201/0001-47;RIGHI COMÉRCIO DE GÊNEROS ALIMENTÍCIOS LTDA.;RS;367.998.200;13;128;11.268;1.121;2.874.986;32.659;328.277;9;10;10;88;867;28.307.554;
Total  100 Maiores;;;;;319.521.288.208;6.384;45.327;9.878.859;628.593;7.049.249;32.344;508.312;14;6;7;218;1.547;50.050.327;
101;107;75.864.728/0001-60;SUPERMERCADOS IRANI LTDA.;PR;364.947.298;4;126;13.909;1.024;2.896.407;26.238;356.394;8;7;32;110;3.477;91.236.825;
102;109;89.835.672/0001-20;OSMAR NICOLINI SUPERMERCADOS LTDA.;RS;357.701.433;10;108;7.973;1.312;3.312.050;44.864;272.638;12;16;11;74;797;35.770.143;
103;104;76.361.807/0001-11;J. MARTINS SUPERMERCADOS PLANALTO LTDA.;PR;355.905.309;7;120;27.917;783;2.965.878;12.749;454.541;7;3;17;233;3.988;50.843.616;
104;130;29.310.554/0001-77;ATLAS DE IGUAÇU DISTRIBUIDORA DE ALIMENTOS LTDA.;RJ;343.602.515;17;176;7.881;868;1.952.287;43.599;395.855;5;11;10;45;464;20.211.913;
105;105;02.397.343/0001-67;QUARTETTO SUPERMERCADOS LTDA.;TO;338.514.559;7;82;12.496;879;4.128.226;27.090;385.113;11;7;12;152;1.785;48.359.223;
106;106;61.192.795/0001-71;DIAS PASTORINHO S.A COMÉRCIO E INDÚSTRIA.;SP;336.804.339;7;98;14.025;1.130;3.436.779;24.015;298.057;12;8;14;143;2.004;48.114.906;
107;110;91.982.496/0001-00;COTRIPAL AGROPECUÁRIA COOPERATIVA;RS;332.645.647;6;113;13.209;938;2.943.767;25.183;354.633;8;7;19;117;2.202;55.440.941;
108;122;57.032.427/0001-99;FONSECA SUPERMERCADOS LTDA.;SP;330.483.892;8;131;18.700;836;2.522.778;17.673;395.316;6;4;16;143;2.338;41.310.487;
109;119;12.919.734/0001-58;FARIAS SUPERMERCADOS EIRELI.;PB;317.621.939;6;76;7.857;731;4.179.236;40.425;434.503;10;9;13;103;1.310;52.936.990;
110;113;01.905.097/0001-44;SUPERMERCADOS GERMÂNIA LTDA.;SC;317.384.478;9;127;14.100;864;2.499.090;22.510;367.343;7;6;14;111;1.567;35.264.942;
111;114;77.863.223/0015-02;C. VALE COOPERATIVA AGROINDUSTRIAL.;PR;315.245.117;8;115;14.895;645;2.741.262;21.164;488.752;6;4;14;130;1.862;39.405.640;
112;118;21.253.729/0001-40;CASA RENA S.A.;MG;313.630.808;11;113;14.408;1.068;2.775.494;21.768;293.662;9;7;10;128;1.310;28.511.892;
113;166;02.318.826/0001-29;V.R.A. COMÉRCIO LTDA.;MS;305.493.083;4;52;7.532;480;5.874.867;40.559;636.444;9;6;13;145;1.883;76.373.271;
114;120;80.213.705/0001-26;COMERCIAL DE SECOS E MOLHADOS DAL POZZO LTDA.;PR;299.893.244;7;159;51.878;789;1.886.121;5.781;380.093;5;2;23;326;7.411;42.841.892;
115;116;03.204.565/0001-89;TREICHEL MACROMERCADO LTDA.;RS;299.000.000;1;52;10.000;498;5.750.000;29.900;600.402;10;5;52;192;10.000;299.000.000;
116;126;12.023.966/0045-44;BONANZA SUPERMERCADOS LTDA.;PE;298.594.628;16;131;13.307;892;2.279.348;22.439;334.747;7;7;8;102;832;18.662.164;
117;115;08.616.988/0001-20;COMERCIAL DE ALIMENTOS SUPERBOM LTDA.;DF;292.825.381;13;103;11.690;759;2.842.965;25.049;385.804;7;6;8;113;899;22.525.029;
118;117;97.508.915/0001-44;SUPERMERCADO REAL DE NITERÓI LTDA.;RJ;292.723.442;7;74;5.830;890;3.955.722;50.210;328.903;12;15;11;79;833;41.817.635;
119;135;06.171.020/0001-01;SUPERMERCADOS GRICKI LTDA.;SP;288.534.375;8;96;10.360;801;3.005.566;27.851;360.218;8;8;12;108;1.295;36.066.797;
120;novo;53.533.386/0001-63;A.A. DE MELO & CIA LTDA.;SP;288.000.000;3;72;5.500;700;4.000.000;52.364;411.429;10;13;24;76;1.833;96.000.000;
121;121;08.008.661/0001-75;AGRICER DIST. E COM. DE PROD. ALIM. LTDA.;PR;285.941.793;15;188;20.250;987;1.520.967;14.121;289.708;5;5;13;108;1.350;19.062.786;
122;125;83.646.604/0001-37;ALTHOFF SUPERMERCADOS LTDA.;SC;285.410.000;11;123;15.539;900;2.320.407;18.367;317.122;7;6;11;126;1.413;25.946.364;
123;128;06.108.817/0001-64;BASE ATACADISTA LTDA.;DF;277.642.433;5;81;13.140;497;3.427.684;21.130;558.637;6;4;16;162;2.628;55.528.487;
124;123;95.597.571/0001-61;SUPERMERCADO BELTRAME LTDA.;RS;277.610.631;4;54;5.650;622;5.140.938;49.135;446.319;12;11;14;105;1.413;69.402.658;
125;137;07.263.762/0003-91;BIG MAIS SUPERMERCADOS LTDA.;MG;274.977.900;5;78;6.710;1.083;3.525.358;40.980;253.904;14;16;16;86;1.342;54.995.580;
126;132;77.752.293/0001-98;LAR COOPERATIVA AGROINDUSTRIAL.;PR;271.138.102;15;161;15.250;732;1.684.088;17.780;370.407;5;5;11;95;1.017;18.075.873;
127;134;08.414.996/0001-93;REDE MENOR PREÇO SUPERMERCADO LTDA.;PB;265.531.823;5;61;5.263;580;4.352.981;50.453;457.813;10;11;12;86;1.053;53.106.365;
128;138;05.359.875/0001-06;SERRANO AUTO SERVIÇO LTDA;SP;264.095.440;11;105;10.000;580;2.515.195;26.410;455.337;6;6;10;95;909;24.008.676;
129;131;23.069.198/0001-65;M.A. SILVA E SILVA LTDA.;AP;257.823.618;5;62;8.200;839;4.158.445;31.442;307.299;14;10;12;132;1.640;51.564.724;
130;141;52.004.785/0001-74;SUPERMERCADO MIALICH LTDA.;SP;257.006.989;10;107;11.600;800;2.401.934;22.156;321.259;7;7;11;108;1.160;25.700.699;
131;129;06.261.771/0003-80;ALLMAYER SUPERMERCADO LTDA.;PR;255.338.555;5;89;12.400;623;2.868.973;20.592;409.853;7;5;18;139;2.480;51.067.711;
132;127;07.503.617/0002-50;SUPERVI DISTRIBUIDOR DE ALIMENTOS LTDA.;GO;248.284.478;14;96;14.024;830;2.586.297;17.704;299.138;9;6;7;146;1.002;17.734.606;
133;146;60.177.862/0001-16;JOSÉ CARLOS NORI & CIA LTDA.;SP;247.282.037;7;98;11.150;900;2.523.286;22.178;274.758;9;8;14;114;1.593;35.326.005;
134;144;04.127.398/0002-63;UNISUPER UNIÃO SUPERMERCADO LTDA.;RS;247.221.241;9;68;6.160;585;3.635.606;40.133;422.600;9;9;8;91;684;27.469.027;
135;205;66.533.696/0001-20;H.M. SUPERMERCADO LTDA.;SP;247.189.387;6;50;5.000;700;4.943.788;49.438;353.128;14;14;8;100;833;41.198.231;
136;124;05.959.479/0001-01;COMERCIAL PRAIAS BELAS LTDA.;RN;245.000.000;9;132;14.780;737;1.856.061;16.576;332.429;6;5;15;112;1.642;27.222.222;
137;147;10.332.298/0001-90;LOURENCINI COMERCIO DE ALIMENTOS LTDA.;SP;237.713.098;9;96;10.310;556;2.476.178;23.057;427.542;6;5;11;107;1.146;26.412.566;
138;139;04.842.563/0002-69;A.R. FILHO & CIA. LTDA.;AP;232.297.000;8;87;14.137;1.070;2.670.080;16.432;217.100;12;8;11;162;1.767;29.037.125;
139;136;14.363.288/0001-73;OBA SUPER ATACADO LTDA.;ES;230.501.888;5;68;10.900;510;3.389.734;21.147;451.964;8;5;14;160;2.180;46.100.378;
140;143;90.180.621/0001-97;CEREALISTA OLIVEIRA LTDA;RS;227.979.605;6;56;9.250;759;4.071.064;24.646;300.368;14;8;9;165;1.542;37.996.601;
141;151;24.150.377/0001-95;KARNE KEIJO  LOGÍSTICA INTEGRADA LTDA.;PE;227.631.223;4;52;14.350;369;4.377.524;15.863;616.887;7;3;13;276;3.588;56.907.806;
142;140;12.887.219/0001-33;NOVA ESTRELA COMÉRCIO DE ALIMENTOS S.A.;MS;226.834.407;4;78;7.800;512;2.908.133;29.081;443.036;7;7;20;100;1.950;56.708.602;
143;145;79.837.688/0001-19;SUPERMERCADOS MANENTI LTDA.;SC;225.516.381;9;90;13.718;848;2.505.738;16.439;265.939;9;6;10;152;1.524;25.057.376;
144;159;37.629.995/0001-64;SUPERMERCADO PRÓ BRASIL LTDA.;GO;225.333.083;6;94;8.020;731;2.397.160;28.096;308.253;8;9;16;85;1.337;37.555.514;
145;156;08.597.765/0001-62;RANCHO BOM SUPERMERCADOS LTDA.;SC;222.493.796;8;61;7.174;670;3.647.439;31.014;332.080;11;9;8;118;897;27.811.725;
146;150;18.060.525/0001-88;MERCANTIL BASTOS LTDA.;MG;221.190.094;9;100;11.429;866;2.211.901;19.353;255.416;9;8;11;114;1.270;24.576.677;
147;novo;83.307.926/0006-66;BRASÃO SUPERMERCADO S.A.;SC;219.364.158;4;81;9.211;567;2.708.199;23.815;386.886;7;6;20;114;2.303;54.841.040;
148;152;78.588.431/0001-08;CASA VISCARDI S.A COMÉRCIO IMPORTAÇÃO.;PR;217.101.393;11;90;10.313;740;2.412.238;21.051;293.380;8;7;8;115;938;19.736.490;
149;165;12.279.637/0001-48;S.A.S. COMÉRCIO DE SECOS E MOLHADOS LTDA.;GO;216.423.722;4;60;8.736;485;3.607.062;24.774;446.234;8;6;15;146;2.184;54.105.931;
150;155;03.951.550/0001-84;PAX SUPERMERCADOS LTDA.;RJ;214.197.931;7;75;7.500;621;2.855.972;28.560;344.924;8;8;11;100;1.071;30.599.704;
151;149;81.584.278/0010-46;COOPERATIVA AGROINDÚSTRIAL COPAGRIL.;PR;213.551.376;6;84;8.537;497;2.542.278;25.015;429.681;6;6;14;102;1.423;35.591.896;
152;178;49.618.556/0001-35;SUPERMERCADO CAETANO LTDA.;SP;211.953.079;3;55;6.600;557;3.853.692;32.114;380.526;10;8;18;120;2.200;70.651.026;
153;148;09.353.578/0008-72;EUMACO COMERCIAL LTDA. (DECISÃO ATACAREJO);MG;210.000.000;5;44;9.800;450;4.772.727;21.429;466.667;10;5;9;223;1.960;42.000.000;
154;176;43.462.720/0001-81;B.A. BARBOSA SUPERMERCADO LTDA.;SP;206.486.971;5;76;8.900;560;2.716.934;23.201;368.727;7;6;15;117;1.780;41.297.394;
155;191;05.846.413/0001-05;MEDEIROS E MAIA LTDA.;RN;204.863.890;6;56;3.559;650;3.658.284;57.562;315.175;12;18;9;64;593;34.143.982;
156;174;18.979.708/0004-44;FORNECEDORA JACOME COMÉRCIO E INDÚSTRIA LTDA.;MG;204.063.756;9;92;9.600;680;2.218.084;21.257;300.094;7;7;10;104;1.067;22.673.751;
157;158;85.244.168/0004-48;MIG ATACADO E VAREJO LTDA.;SC;198.538.813;16;99;21.700;384;2.005.443;9.149;517.028;4;2;6;219;1.356;12.408.676;
158;161;55.624.498/0001-55;SUPERMERCADO ESTRELA DE REGENTE FEIJÓ LTDA.;SP;196.973.435;10;79;8.640;570;2.493.335;22.798;345.567;7;7;8;109;864;19.697.344;
159;173;10.389.021/0005-28;SUPERMERCADO DO POVO LTDA.;CE;196.078.868;7;106;10.682;600;1.849.801;18.356;326.798;6;6;15;101;1.526;28.011.267;
160;186;08.178.375/0001-58;SUPERMERCADO NIDOBOX LTDA.;CE;196.004.209;7;84;7.257;690;2.333.383;27.009;284.064;8;10;12;86;1.037;28.000.601;
161;172;03.214.362/0001-73;ZEBU CARNES SUPERMERCADOS LTDA;MG;196.000.000;9;79;7.880;750;2.481.013;24.873;261.333;9;10;9;100;876;21.777.778;
162;154;10.783.796/0001-50;UBERABA SUPERMERCADOS EIRELI.;MG;195.197.390;6;80;9.000;600;2.439.967;21.689;325.329;8;7;13;113;1.500;32.532.898;
163;157;75.492.694/0001-20;SUPERMERCADO MYATÃ LTDA.;SC;193.384.866;9;84;9.594;640;2.302.201;20.157;302.164;8;7;9;114;1.066;21.487.207;
164;179;04.675.604/0002-70;SUPERMERCADO GUARÃ LTDA.;CE;192.269.902;6;74;6.250;550;2.598.242;30.763;349.582;7;9;12;84;1.042;32.044.984;
165;164;88.587.357/0001-69;COOPERATIVA SANTA CLARA LTDA.;RS;192.000.000;12;78;11.500;470;2.461.538;16.696;408.511;6;4;7;147;958;16.000.000;
166;235;08.637.640/0001-19;DO DIA SUPERMERCADOS LTDA.;PB;190.199.833;7;56;7.028;488;3.396.426;27.063;389.754;9;7;8;126;1.004;27.171.405;
167;168;95.821.310/0001-83;COOPERATIVA TRITÍCOLA SANTA ROSA LTDA.;RS;189.823.671;23;83;9.603;486;2.287.032;19.767;390.584;6;5;4;116;418;8.253.203;
168;183;58.747.932/0001-82;IRMÃOS TROYANO LTDA.;SP;189.175.263;6;65;6.700;610;2.910.389;28.235;310.123;9;9;11;103;1.117;31.529.211;
169;153;51.832.046/0001-08;COOPERATIVA DE CONSUMO DE INÚBIA PAULISTA.;SP;188.670.334;4;41;11.700;383;4.601.715;16.126;492.612;9;3;10;285;2.925;47.167.584;
170;169;07.408.983/0001-49;BANDEIRANTE SUPERMERCADOS BRASIL LTDA.;SP;184.782.633;3;52;5.500;496;3.553.512;33.597;372.546;10;9;17;106;1.833;61.594.211;
171;167;19.860.683/0001-85;COOPERATIVA DE CONSUMO DOS EMPREGADOS DA USIMINAS LTDA.;MG;184.753.303;7;78;10.524;586;2.368.632;17.555;315.279;8;6;11;135;1.503;26.393.329;
172;171;79.863.890/0005-49;NESTOR LACHMAN & CIA. LTDA.;PR;184.000.000;4;49;7.300;410;3.755.102;25.205;448.780;8;6;12;149;1.825;46.000.000;
173;177;87.715.835/0002-97;BENEDETTI E BENEDETTI LTDA.;RS;182.048.225;2;35;4.450;278;5.201.378;40.910;654.850;8;6;18;127;2.225;91.024.113;
